[2020-01-02 08:45:32,435] [INFO] : RootScreen: App has started
[2020-01-02 08:46:41,691] [INFO] : RootScreen: App has started
[2020-01-02 08:46:52,857] [DEBUG] : LanguageScreen: mk language is used
[2020-01-02 08:46:54,554] [DEBUG] : Homeboard:  No-user
[2020-01-02 08:46:54,557] [DEBUG] : Homeboard: labels are configured.
[2020-01-02 08:46:55,532] [DEBUG] : NewPuzzleScreen: labels are configured
[2020-01-02 08:46:59,337] [DEBUG] : NewPuzzleScreen: DIRECTORY_CALLED is changed to FullPuzzle
[2020-01-02 08:46:59,341] [DEBUG] : ChooseFileScreen: labels are configured.
[2020-01-02 08:47:15,305] [INFO] : ChooseFileScreen: file C:\Users\Filip.Dimovski\Documents\Puzzles\Good Puzzles\Alphabet1\FullPuzzle.png is copied
[2020-01-02 08:47:15,316] [DEBUG] : NewPuzzleScreen: labels are configured
[2020-01-02 08:47:16,292] [DEBUG] : NewPuzzleScreen: DIRECTORY_CALLED is changed to PiecesPuzzle
[2020-01-02 08:47:16,292] [DEBUG] : ChooseFileScreen: labels are configured.
[2020-01-02 08:47:18,606] [INFO] : ChooseFileScreen: file C:\Users\Filip.Dimovski\Documents\Puzzles\Good Puzzles\Alphabet1\PiecesPuzzle.png is copied
[2020-01-02 08:47:18,607] [DEBUG] : NewPuzzleScreen: labels are configured
[2020-01-02 08:47:21,429] [DEBUG] : PuzzleConnection: check_user_puzzle_rel:False
[2020-01-02 08:47:21,433] [INFO] : NewPuzzleScreen: Folder users/0/test_20200102_084721 is created.
[2020-01-02 08:47:21,438] [INFO] : NewPuzzleScreen: file users/0/test_20200102_084721/FullPuzzle.png is moved
[2020-01-02 08:47:21,441] [INFO] : NewPuzzleScreen: file users/0/test_20200102_084721/PiecesPuzzle.png is moved
[2020-01-02 08:47:21,512] [DEBUG] : PuzzleSolution: progressbar pop is open
[2020-01-02 08:47:21,513] [DEBUG] : PuzzleSolution: initialize
[2020-01-02 08:47:21,513] [DEBUG] : PuzzleSolution: solve_puzzle is called.
[2020-01-02 08:47:21,513] [DEBUG] : PuzzleSolution: solve_puzzle_algorithm is called.
[2020-01-02 08:47:21,548] [DEBUG] : PuzzleConnection: update_puzzle_solution called for Puzzle id:0. Solution Path:users/0/test_20200102_084721//SolutionPuzzle.png
[2020-01-02 08:47:21,548] [INFO] : NewPuzzleScreen: Puzzle is solved.
[2020-01-02 08:47:21,552] [DEBUG] : PictureViewScreen: labels are configured
[2020-01-02 08:47:22,687] [DEBUG] : PuzzleSolution: progress_bar.value =4
[2020-01-02 08:47:23,682] [DEBUG] : PuzzleSolution: progress_bar.value =7
[2020-01-02 08:47:24,688] [DEBUG] : PuzzleSolution: progress_bar.value =10
[2020-01-02 08:47:25,687] [DEBUG] : PuzzleSolution: progress_bar.value =13
[2020-01-02 08:47:26,684] [DEBUG] : PuzzleSolution: progress_bar.value =16
[2020-01-02 08:47:27,681] [DEBUG] : PuzzleSolution: progress_bar.value =19
[2020-01-02 08:47:28,688] [DEBUG] : PuzzleSolution: progress_bar.value =22
[2020-01-02 08:47:29,693] [DEBUG] : PuzzleSolution: progress_bar.value =25
[2020-01-02 08:47:30,706] [DEBUG] : PuzzleSolution: progress_bar.value =28
[2020-01-02 08:47:31,720] [DEBUG] : PuzzleSolution: progress_bar.value =31
[2020-01-02 08:49:36,459] [INFO] : RootScreen: App has started
